id,x,y,z
Node92,-32.43817909613014,107.76046634375174,-210.25382411255637
Node93,-7.686506046072353,138.29455937784687,-131.37430711449807
Node94,2.3869499130579657,120.96698929618539,-79.09126444642017
Node95,26.900652499324863,93.32593496383595,-1.1122900989436602
Node96,5.486889338606175,92.52314989435123,8.463361730546472
Node97,61.03656315298948,77.59547715592682,21.95893575193452
Node98,27.359246461845217,100.02038672304715,-91.4434360810017
Node99,41.61286349027316,75.45845728561993,-17.93228825394975
Node100,34.597907519879875,127.08559892899882,-165.1427993162372
Node101,-29.785591253263014,131.94225971875866,-180.6346468345085
Node102,-17.402475567037573,58.03763575028693,-197.88680113999183
Node103,-37.09852196658624,85.5590726637593,-260.2930459411367
Node104,-31.8270908449036,29.54899291811748,-302.3339731092374
Node105,-64.98672023990844,50.53454483418428,-235.82169439249245
Node106,-48.05379914592065,-9.491745974992169,-6.372346115705438
Node107,-27.31064048042844,-44.27008552139892,35.95683773168594
Node108,-62.623361518172736,-8.832868206705093,47.52225643797492
Node109,-117.57524166879706,-24.413753421338463,-59.54783928699981
Node110,-78.12832151020963,-34.10505328815087,-56.3664978204271
Node111,-96.27892097843906,-16.246668960539022,-91.67700448311086
Node112,-52.3783263531641,-3.31159043066992,-88.17315018381592
Node113,-111.46355470000033,-69.53626047808652,-147.5931810706834
Node114,-114.22718998306672,-68.36466988410672,-198.2967067128686
Node115,-65.3707518384844,-24.105788930994233,-184.13296419061285
Node116,-122.29096287694782,-0.6844778398258653,-247.97779524637576
Node117,-112.5623941867756,-36.01934819718852,-263.6441210327265
Node118,-86.8607641383049,-17.528075780230875,-296.3862095682087
Node119,-84.4487265046811,6.45142238497073,-244.73245073687383
Node120,-59.04008047267948,-37.07094780088557,-306.84065763243984
Node121,-24.962201006940706,14.331480401058732,-226.17277355344223
Node122,30.475813480482266,37.619508034766085,-120.91417322520559
Node123,72.44498929519094,33.8834021227847,-89.64456703539307
Node124,13.425827858393252,76.83104533772577,-27.078192056118105
Node125,76.51490227944704,53.507560341972955,7.570823246998127
Node126,35.32156555330329,74.13269284710722,-74.8339151471305
Node127,27.594794962666928,34.409649209282335,-49.15837706608338
Node128,63.73213444488758,28.86787834056758,-171.5418481787648
Node129,63.19757120805633,59.90292319431866,-93.53982848108387
Node130,25.79495774577133,25.60006722012511,-171.3803177608603
Node131,8.817277554580173,23.77263632548856,-240.80945095922593
Node132,1.1049119086900299,16.357269620797247,-281.93155938171293
Node133,-52.568790329684866,29.00036706333155,-261.86536229763647
Node134,1.1170752159079178,10.310733948622662,-205.12152599473836
Node135,-22.28169779197154,20.76081912764044,-165.52842663774902
Node136,-45.00308688631017,16.966506905714006,-191.03129417730852
Node137,-102.41671560093795,32.82516994615301,-215.7133358486899
Node138,-62.506760300131674,27.307853048723885,-135.2831071672034
Node139,-113.07020035336248,23.466379021861307,-105.85275168625141
Node140,-163.745788743639,34.939936184906415,-55.05295599432022
Node141,-117.73785892608949,98.97751225176596,-62.05935054720733
Node142,-21.487718412578356,146.77464090457286,-36.47762840631203
Node143,110.47199810560669,173.19415174034296,-84.32499939378424
Node144,84.96243956218804,185.87177071310765,-73.7878978564016
Node145,84.69915765457732,120.44489125127441,55.58981247600852
Node146,79.4433776075454,173.64729481831452,10.71881880430168
Node147,81.92434657784267,98.6325656933104,87.45020921472972
Node148,52.92923093974882,132.3245889908212,34.08951302627508
Node149,86.4924629930093,209.77444743357776,-80.55518535023819
Node150,65.68678781426337,150.09789277627195,-31.698055023307088
