id,x,y,z
Node39,221.14356010116086,22.93717103045809,-271.844506284378
Node40,273.7603704953183,34.66976868291404,-253.3175732200489
Node41,283.3739628510557,63.41713300390644,-294.26293127857986
Node42,293.6872577667847,74.01080485310584,-247.61278973761912
Node43,264.11858204486475,93.21600374056362,-255.41919490423248
Node44,305.6688647321357,99.0881942794725,-277.1889295345789
Node45,280.38995536844806,106.74781197501943,-289.9285311755401
Node46,278.35729403107865,103.1801405640211,-227.45586336650607
Node47,217.88881789715788,60.02488710551887,-237.52017172815428
Node48,237.18708503010754,86.02956929731612,-288.28004313150257
Node49,248.94541504462464,44.24687860978189,-292.5711332360688
Node50,213.39555028649227,81.53740614912395,-232.4432535077679
Node51,152.95769701810923,103.94732178885626,-190.79700261792718
Node52,162.34258738942088,119.22308251265453,-245.74645087992826
Node53,165.00819228814342,59.74111248142811,-181.875113963389
Node54,104.00886873095006,64.49379415861493,-130.8956589114777
Node55,118.71200378453425,57.435090487947065,-193.15568068151984
Node56,88.15331065176854,32.84537879710949,-145.85522989754708
Node57,29.050378488742805,27.25984814162637,-18.3623012460994
Node58,14.202118216062724,41.88375005795011,-69.26634242134755
Node59,-83.68501545290803,-48.23721410939666,-154.28889188985076
Node60,-162.744891913563,-119.9446953800191,-184.94756277945052
Node61,-213.12358827164832,-142.59420878184784,-220.92274967784707
Node62,-214.59349023892594,-89.23615549187227,-183.97188156428567
Node63,-131.36213649149389,-51.47226052377468,-43.83644314388952
Node64,-202.25970612368562,-130.93528886307536,-131.68443911338386
Node65,-188.38450006120405,-111.46638573595439,-160.06702511906832
Node66,-207.175028165892,-173.5983153343983,-192.19934226640666
Node67,-118.22253975287603,-131.0652151424347,-126.77107926570397
Node68,-153.5909866760714,-171.791220929458,-164.83591758838617
Node69,-178.65509142961872,-180.10999517807159,-201.8275622473334
Node70,-145.4091952552881,-132.55480473106215,-121.17627928177167
Node71,-85.07868732812106,-125.15845972830381,-202.45945106004865
Node72,-30.330455431358583,-136.1618633409411,-127.24426177706192
Node73,148.3429019057514,-136.7566487372162,65.68945079615122
Node74,152.20327019358513,-147.97557917855195,131.84084686093195
Node75,191.03943622501598,-177.0621148642052,221.86698868742027
Node76,144.7073601089889,-178.6140122480849,231.5972619434171
Node77,138.89285704267817,-133.93421936229106,238.73665120093656
Node78,179.76025172939293,-134.77473231388765,240.724357130711
Node79,174.42374195913942,-142.69622233935348,281.36543773985164
Node80,88.80276295079697,-86.88703915206592,197.22474416594892
Node81,56.61241077486164,-61.02000840407503,193.32182129177917
Node82,142.59375002780618,-101.24264931500215,268.17711882185944
Node83,125.74501514305653,-53.5457708368513,220.8999553938337
Node84,174.24719963037705,-65.51154250179047,224.56960968906313
Node85,192.4109408418423,-110.0502648163956,277.57285491381015
Node86,194.8799620261052,-112.10471605810271,198.4619034130582
Node87,155.75044044541355,-119.99205855755187,115.9543951003449
Node88,143.21613127242452,-106.05118391457637,51.19865692568818
Node89,64.4249840613771,-116.18880961844896,-149.91723039531772
Node90,48.33647559340117,-119.73388724158526,-229.47252251303692
Node91,93.16021105709616,-120.64346846584154,-285.537424675211
Node92,56.542569378275736,-159.48891893897425,-310.20214316967645
Node93,91.27692536060962,-180.3820417925263,-269.71032415063286
Node94,46.632536722491444,-149.67498663340723,-205.84448188858877
Node95,38.99656662382064,-79.90767727150403,-153.3971103047584
Node96,71.76362598882879,-85.60045191629794,-99.03124662783983
Node97,76.84066142902454,-84.22964693631312,-157.39389790740964
Node98,64.66913109115204,-115.66844559645533,-183.57545248639315
Node99,13.135636808814168,-105.9540379389982,-160.43542334101818
Node100,25.499122536840183,-173.58098901092677,-301.62448845020526
Node101,-9.810337520799921,-132.97613008279157,-273.5877347551565
Node102,10.97580366749604,-157.5514969993742,-255.3109793433296
Node103,53.028541965998215,-185.6285465962441,-310.21059178342983
Node104,25.865787361650355,-108.62128251987677,-308.80328564961326
Node105,-87.07674115382113,-57.62393633718034,-204.37160306165984
Node106,-173.2630159527724,27.05451878641057,-19.202412813052693
Node107,-181.27107415134668,1.2513693984316787,32.63643779011335
